,,,,,CPX,,,,OC,,,,,,CL,,,,,,GS,,,,,,OCG,,,,,,,
instance,k/|V|,weight,|V|,|E|,T,EG,#N,GI,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C(OC),#C(CL),#C(GS),ST
179,70%,unit,15783,24663,3.2,NA,1,100.0,3.1,NA,1,100.0,1030,<0.1,4.8,NA,1,100.0,231,<0.1,4.5,NA,1,100.0,0,0.9,5.5,NA,1,100.0,1030,231,0,0.8
181,70%,unit,18096,28281,7.2,NA,1,100.0,6.2,NA,1,100.0,1279,0.1,8.4,NA,1,100.0,238,0,7.3,NA,1,100.0,0,1.2,9.6,NA,1,100.0,1279,238,0,1.2
183,70%,unit,72420,118362,80.8,NA,1,100.0,80.8,NA,1,100.0,3000,<0.1,114.2,NA,1,100.0,349,<0.1,80.8,NA,1,100.0,0,0,114.4,NA,1,100.0,3000,349,0,<0.1
185,70%,unit,3523,6446,0.5,NA,1,100.0,0.5,NA,1,100.0,313,0,0.6,NA,1,100.0,178,0,0.6,NA,1,100.0,0,0.1,0.7,NA,1,100.0,313,178,0,0.1
187,70%,unit,4227,7734,0.7,NA,1,100.0,0.7,NA,1,100.0,411,<0.1,0.8,NA,1,100.0,183,0,0.8,NA,1,100.0,0,0.1,0.9,NA,1,100.0,411,183,0,0.2
189,70%,unit,7400,13600,1.7,NA,1,100.0,1.7,NA,1,100.0,714,<0.1,2.1,NA,1,100.0,201,<0.1,2.3,NA,1,100.0,0,0.4,2.5,NA,1,100.0,714,201,0,0.4
191,70%,unit,4579,8378,0.8,NA,1,100.0,0.8,NA,1,100.0,394,<0.1,0.9,NA,1,100.0,185,0,0.9,NA,1,100.0,0,0.1,1.1,NA,1,100.0,394,185,0,0.1
193,70%,unit,7030,12920,1.5,NA,1,100.0,1.5,NA,1,100.0,620,<0.1,1.8,NA,1,100.0,199,0,1.9,NA,1,100.0,0,0.3,2.1,NA,1,100.0,620,199,0,0.3
195,70%,unit,1150,81068,3564.3,8.8,7320,0,3589.9,8.8,8747,0,5284,0.1,3591.4,8.3,1,2.4,14756,0.5,3570.7,8.8,7455,0,690,0.8,3582.9,8.4,1,1.7,10568,44051,690,2.9
197,70%,unit,1534,127011,3547.2,8.7,8701,0,3517.7,8.7,7181,0,6684,0.1,3505.1,8.7,8201,0,948,<0.1,3555.5,8.7,8901,0,922,1.5,3516.3,8.5,1,0.1,10026,236289,922,12.5
199,70%,unit,1534,126163,3548.0,8.7,7285,0,3544.4,8.6,6006,0,6668,0.1,3530.2,8.7,9501,0,948,<0.1,3515.7,8.8,9414,0,3730,6.9,3490.1,8.5,1,0,10002,208758,6476,20.8
1,20%,nonunit,6160,40207,4.4,NA,1,100.0,3.7,NA,1,100.0,45,0,5.6,NA,1,100.0,7,0.1,4.6,NA,1,100.0,0,0,4.9,NA,1,100.0,45,5,0,<0.1
3,20%,nonunit,60541,48418,11.7,NA,1,100.0,11.9,NA,1,100.0,0,0,18.8,NA,1,100.0,0,0,11.8,NA,1,100.0,0,0,18.8,NA,1,100.0,0,0,0,0
5,20%,nonunit,200,798,0.1,NA,1,100.0,0.1,NA,1,100.0,2,0,0.1,NA,1,100.0,2,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,2,2,0,<0.1
7,20%,nonunit,8794,10121,1.2,NA,1,100.0,1.2,NA,1,100.0,29,0,1.6,NA,1,100.0,16,0,1.2,NA,1,100.0,0,0,1.6,NA,1,100.0,29,16,0,0
9,20%,nonunit,38452,174645,3548.1,0.9,4902,78.5,3468.0,1.1,3401,79.0,12000,<0.1,3564.3,1.2,1,82.0,6009,8.0,3518.9,0.9,4748,78.5,0,<0.1,3562.4,1.2,1,82.9,12000,5641,0,5.6
11,20%,nonunit,9877,25973,3438.5,0.1,206580,78.8,3366.9,<0.1,164606,86.2,7878,0.8,3370.4,<0.1,194319,83.8,256,0.6,3515.4,0.1,197340,78.8,0,0.5,3387.6,<0.1,172443,87.6,7741,238,0,1.4
13,20%,nonunit,45307,36697,6.6,NA,1,100.0,6.6,NA,1,100.0,0,0,9.7,NA,1,100.0,0,0,6.7,NA,1,100.0,0,0,9.4,NA,1,100.0,0,0,0,0
15,20%,nonunit,53610,42940,9.0,NA,1,100.0,9.2,NA,1,100.0,0,0,13.1,NA,1,100.0,0,0,9.2,NA,1,100.0,0,0,13.1,NA,1,100.0,0,0,0,0
17,20%,nonunit,23541,34233,9.5,NA,1,100.0,9.6,NA,1,100.0,450,0,13.6,NA,1,100.0,252,<0.1,10.4,NA,1,100.0,0,0.1,12.3,NA,1,100.0,450,252,0,0.1
19,20%,nonunit,200,862,0.1,NA,1,100.0,0.1,NA,1,100.0,40,0,0.1,NA,1,100.0,13,0,0.1,NA,1,100.0,23,0,0.1,NA,1,100.0,40,13,23,<0.1
21,20%,nonunit,24765,19655,2.0,NA,1,100.0,2.1,NA,1,100.0,0,0,3.0,NA,1,100.0,0,0,2.1,NA,1,100.0,0,0,3.0,NA,1,100.0,0,0,0,0
23,20%,nonunit,27717,133665,3546.1,1.6,1090,70.7,3574.7,1.7,601,71.8,12000,<0.1,3590.8,1.5,1,75.2,5876,2.3,3567.5,1.6,1062,70.7,0,0,3580.9,1.7,1,75.2,12000,5012,0,4.7
25,20%,nonunit,23194,18295,1.8,NA,1,100.0,1.8,NA,1,100.0,0,0,2.6,NA,1,100.0,0,0,1.8,NA,1,100.0,0,0,2.6,NA,1,100.0,0,0,0,0
27,20%,nonunit,65866,52435,13.6,NA,1,100.0,13.5,NA,1,100.0,0,0,21.4,NA,1,100.0,0,0,13.4,NA,1,100.0,0,0,21.9,NA,1,100.0,0,0,0,0
29,20%,nonunit,13431,16234,3.5,NA,1,100.0,3.6,NA,1,100.0,53,<0.1,4.3,NA,1,100.0,44,<0.1,3.5,NA,1,100.0,0,0,4.3,NA,1,100.0,53,44,0,<0.1
31,20%,nonunit,200,813,0.2,NA,1,100.0,0.1,NA,1,100.0,56,0,0.1,NA,1,100.0,30,0,0.2,NA,1,100.0,76,<0.1,0.1,NA,1,100.0,56,30,64,0
33,20%,nonunit,4410,6885,0.7,NA,1,100.0,0.7,NA,1,100.0,32,<0.1,0.8,NA,1,100.0,27,0,0.7,NA,1,100.0,0,0,0.8,NA,1,100.0,32,27,0,0
35,20%,nonunit,200,864,0.4,NA,5,86.3,0.1,NA,1,100.0,45,0,0.1,NA,1,100.0,14,0,0.4,NA,5,86.3,36,0,0.1,NA,1,100.0,45,14,37,<0.1
37,20%,nonunit,198,808,0.1,NA,1,100.0,0.1,NA,1,100.0,15,0,0.1,NA,1,100.0,15,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,15,15,0,0
39,20%,nonunit,6795,10620,1.1,NA,1,100.0,1.1,NA,1,100.0,43,0,1.4,NA,1,100.0,43,0,1.1,NA,1,100.0,0,<0.1,1.4,NA,1,100.0,43,43,0,<0.1
41,20%,nonunit,200,1023,0.1,NA,1,100.0,0.1,NA,1,100.0,35,0,0.1,NA,1,100.0,5,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,35,5,0,0
43,20%,nonunit,200,841,0.1,NA,1,100.0,0.1,NA,1,100.0,17,0,0.1,NA,1,100.0,11,0,0.1,NA,1,100.0,1,0,0.1,NA,1,100.0,17,11,1,0
45,20%,nonunit,200,1020,0.3,NA,1,100.0,0.1,NA,1,100.0,134,<0.1,0.2,NA,1,100.0,40,0,0.2,NA,1,100.0,78,0,0.2,NA,1,100.0,186,37,30,<0.1
47,20%,nonunit,200,1093,0.2,NA,1,100.0,0.2,NA,1,100.0,38,0,0.1,NA,1,100.0,86,0,0.2,NA,1,100.0,0,0,0.1,NA,1,100.0,0,86,0,0
49,20%,nonunit,200,933,<0.1,NA,1,100.0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,0,0
51,20%,nonunit,200,1098,0.1,NA,1,100.0,0.1,NA,1,100.0,57,<0.1,0.1,NA,1,100.0,36,0,0.1,NA,1,100.0,106,0,0.1,NA,1,100.0,57,35,61,<0.1
53,20%,nonunit,200,1026,0.2,NA,1,100.0,0.1,NA,1,100.0,81,0,0.1,NA,1,100.0,30,0,0.2,NA,1,100.0,65,<0.1,0.1,NA,1,100.0,81,30,68,<0.1
55,20%,nonunit,200,938,0.1,NA,1,100.0,0.1,NA,1,100.0,68,0,0.1,NA,1,100.0,30,0,0.1,NA,1,100.0,57,<0.1,0.1,NA,1,100.0,68,30,56,<0.1
57,20%,nonunit,200,1160,0.2,NA,1,100.0,0.2,NA,1,100.0,97,0,0.2,NA,1,100.0,44,0,0.2,NA,1,100.0,0,0,0.2,NA,1,100.0,97,44,0,0
59,20%,nonunit,200,961,<0.1,NA,1,100.0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,0,0
61,20%,nonunit,200,931,0.1,NA,1,100.0,0.1,NA,1,100.0,75,0,0.2,NA,1,100.0,19,0,0.1,NA,1,100.0,82,<0.1,0.1,NA,1,100.0,75,19,78,<0.1
63,20%,nonunit,200,1011,0.1,NA,1,100.0,0.1,NA,1,100.0,45,<0.1,0.2,NA,1,100.0,17,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,45,17,0,<0.1
65,20%,nonunit,200,1011,0.1,NA,1,100.0,0.1,NA,1,100.0,13,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,13,0,0,0
67,20%,nonunit,200,1174,0.1,NA,1,100.0,0.1,NA,1,100.0,48,0,0.1,NA,1,100.0,25,0,0.2,NA,1,100.0,55,0,0.1,NA,1,100.0,48,25,55,0
69,20%,nonunit,200,1083,0.1,NA,1,100.0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,0,0,0,0
71,20%,nonunit,200,952,0.1,NA,1,100.0,0.1,NA,1,100.0,39,0,0.1,NA,1,100.0,39,0,0.2,NA,1,100.0,0,0,0.1,NA,1,100.0,39,39,0,0
73,20%,nonunit,200,1078,0.1,NA,1,100.0,0.1,NA,1,100.0,29,0,0.1,NA,1,100.0,22,0,0.1,NA,1,100.0,67,0,0.1,NA,1,100.0,29,22,40,0
75,20%,nonunit,26300,41500,9.1,NA,1,100.0,9.1,NA,1,100.0,221,0,13.3,NA,1,100.0,221,<0.1,9.2,NA,1,100.0,0,<0.1,13.3,NA,1,100.0,221,221,0,0.1
77,20%,nonunit,200,961,<0.1,NA,1,100.0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,0,0
79,20%,nonunit,26300,41500,9.9,NA,1,100.0,9.8,NA,1,100.0,216,<0.1,14.2,NA,1,100.0,216,<0.1,9.9,NA,1,100.0,0,<0.1,13.8,NA,1,100.0,216,216,0,0.1
81,20%,nonunit,199,1091,0.1,NA,1,100.0,0.1,NA,1,100.0,25,0,0.1,NA,1,100.0,12,0,0.1,NA,1,100.0,0,0,0.1,NA,1,100.0,25,12,0,<0.1
83,20%,nonunit,200,1172,0.2,NA,1,100.0,0.1,NA,1,100.0,68,0,0.1,NA,1,100.0,28,0,0.2,NA,1,100.0,87,<0.1,0.1,NA,1,100.0,68,28,56,<0.1
85,20%,nonunit,11470,17408,2.8,NA,1,100.0,2.8,NA,1,100.0,76,0,3.6,NA,1,100.0,76,<0.1,2.9,NA,1,100.0,0,0,3.6,NA,1,100.0,76,76,0,<0.1
87,20%,nonunit,13590,21240,4.5,NA,1,100.0,4.4,NA,1,100.0,91,<0.1,5.6,NA,1,100.0,91,<0.1,4.5,NA,1,100.0,0,0,5.6,NA,1,100.0,91,91,0,<0.1
89,20%,nonunit,57316,77978,32.4,NA,1,100.0,31.7,NA,1,100.0,817,<0.1,50.9,NA,1,100.0,381,<0.1,32.1,NA,1,100.0,0,0.7,53.8,NA,1,100.0,817,372,0,0.8
91,20%,nonunit,200,1163,0.2,NA,1,100.0,0.1,NA,1,100.0,94,<0.1,0.1,NA,1,100.0,43,0,0.2,NA,1,100.0,123,0,0.1,NA,1,100.0,94,43,66,<0.1
93,20%,nonunit,200,1162,0.1,NA,1,100.0,0.1,NA,1,100.0,26,0,0.1,NA,1,100.0,5,0,0.1,NA,1,100.0,3,0,0.1,NA,1,100.0,26,5,3,0
95,20%,nonunit,15783,24663,5.3,NA,1,100.0,5.3,NA,1,100.0,97,<0.1,6.9,NA,1,100.0,97,<0.1,5.3,NA,1,100.0,0,<0.1,6.9,NA,1,100.0,97,97,0,<0.1
97,20%,nonunit,18096,28281,4.5,NA,1,100.0,4.5,NA,1,100.0,113,<0.1,6.7,NA,1,100.0,113,<0.1,4.5,NA,1,100.0,0,0,6.7,NA,1,100.0,113,113,0,<0.1
99,20%,nonunit,26300,41500,9.6,NA,1,100.0,9.6,NA,1,100.0,213,0,14.0,NA,1,100.0,213,<0.1,9.7,NA,1,100.0,0,<0.1,14.0,NA,1,100.0,213,213,0,0.1
101,20%,nonunit,26300,41500,9.9,NA,1,100.0,9.8,NA,1,100.0,212,0,14.0,NA,1,100.0,212,<0.1,10.0,NA,1,100.0,0,<0.1,14.1,NA,1,100.0,212,210,0,0.1
103,20%,nonunit,15783,24663,5.9,NA,1,100.0,5.5,NA,1,100.0,103,<0.1,7.2,NA,1,100.0,103,<0.1,5.6,NA,1,100.0,0,0,7.4,NA,1,100.0,103,103,0,0.1
105,20%,nonunit,26300,41500,10.7,NA,1,100.0,10.0,NA,1,100.0,215,<0.1,14.8,NA,1,100.0,215,0.1,10.0,NA,1,100.0,0,<0.1,14.5,NA,1,100.0,215,215,0,0.1
107,20%,nonunit,13590,21240,4.2,NA,1,100.0,4.3,NA,1,100.0,91,0,5.4,NA,1,100.0,91,<0.1,4.2,NA,1,100.0,0,0,5.3,NA,1,100.0,91,91,0,0.1
109,20%,nonunit,66992,90970,42.3,NA,1,100.0,42.4,NA,1,100.0,1129,0.1,68.2,NA,1,100.0,454,0.1,43.7,NA,1,100.0,0,1.2,69.8,NA,1,100.0,1129,424,0,1.3
111,20%,nonunit,450,17831,3561.6,1.6,21141,71.4,3519.4,1.1,9889,78.6,10591,<0.1,3530.4,3.7,1,84.2,109564,3.5,3511.5,1.6,17827,70.0,2549,0.7,3564.8,3.4,1,90.4,10591,91848,361,3.1
113,20%,nonunit,26300,41500,9.0,NA,1,100.0,11.2,NA,1,100.0,213,<0.1,13.5,NA,1,100.0,213,<0.1,9.4,NA,1,100.0,0,<0.1,14.6,NA,1,100.0,213,213,0,0.1
115,20%,nonunit,18096,28281,4.7,NA,1,100.0,5.2,NA,1,100.0,104,<0.1,7.1,NA,1,100.0,104,0.1,4.8,NA,1,100.0,0,<0.1,6.9,NA,1,100.0,104,104,0,<0.1
117,20%,nonunit,18096,28281,5.0,NA,1,100.0,4.7,NA,1,100.0,111,0,6.9,NA,1,100.0,111,<0.1,6.0,NA,1,100.0,0,<0.1,6.9,NA,1,100.0,111,111,0,<0.1
119,20%,nonunit,18096,28281,5.8,NA,1,100.0,4.8,NA,1,100.0,105,0,6.8,NA,1,100.0,105,<0.1,5.4,NA,1,100.0,0,<0.1,7.0,NA,1,100.0,105,105,0,<0.1
121,20%,nonunit,18096,28281,4.9,NA,1,100.0,4.8,NA,1,100.0,103,0,7.0,NA,1,100.0,103,0.1,4.8,NA,1,100.0,0,<0.1,7.8,NA,1,100.0,103,103,0,<0.1
123,20%,nonunit,26300,41500,9.7,NA,1,100.0,12.5,NA,1,100.0,213,0,14.2,NA,1,100.0,213,<0.1,9.0,NA,1,100.0,0,<0.1,14.1,NA,1,100.0,213,213,0,0.1
125,20%,nonunit,26300,41500,11.6,NA,1,100.0,10.6,NA,1,100.0,221,0,15.5,NA,1,100.0,221,<0.1,10.3,NA,1,100.0,0,<0.1,15.5,NA,1,100.0,221,221,0,0.1
127,20%,nonunit,18096,28281,5.3,NA,1,100.0,5.0,NA,1,100.0,105,<0.1,7.0,NA,1,100.0,105,0.1,5.3,NA,1,100.0,0,0,7.1,NA,1,100.0,105,104,0,<0.1
129,20%,nonunit,15783,24663,5.4,NA,1,100.0,5.5,NA,1,100.0,109,<0.1,7.8,NA,1,100.0,109,0.1,5.4,NA,1,100.0,0,<0.1,7.2,NA,1,100.0,109,109,0,<0.1
131,20%,nonunit,2980,5360,0.4,NA,1,100.0,0.4,NA,1,100.0,14,0,0.5,NA,1,100.0,14,0,0.4,NA,1,100.0,0,0,0.5,NA,1,100.0,14,14,0,0
133,20%,nonunit,15783,24663,5.6,NA,1,100.0,5.5,NA,1,100.0,94,0,8.0,NA,1,100.0,94,<0.1,5.6,NA,1,100.0,0,0,7.0,NA,1,100.0,94,94,0,<0.1
135,20%,nonunit,26300,41500,10.9,NA,1,100.0,10.9,NA,1,100.0,220,<0.1,17.2,NA,1,100.0,220,0.1,10.4,NA,1,100.0,0,<0.1,14.1,NA,1,100.0,220,220,0,0.1
137,20%,nonunit,26300,41500,10.8,NA,1,100.0,11.2,NA,1,100.0,216,<0.1,16.6,NA,1,100.0,216,0.1,10.8,NA,1,100.0,0,<0.1,14.9,NA,1,100.0,216,216,0,0.1
139,20%,nonunit,18096,28281,4.9,NA,1,100.0,4.7,NA,1,100.0,104,<0.1,7.5,NA,1,100.0,104,<0.1,4.8,NA,1,100.0,0,<0.1,6.9,NA,1,100.0,104,104,0,<0.1
141,20%,nonunit,18096,28281,5.2,NA,1,100.0,4.8,NA,1,100.0,113,0,7.4,NA,1,100.0,113,<0.1,5.0,NA,1,100.0,0,<0.1,7.0,NA,1,100.0,113,113,0,<0.1
143,20%,nonunit,18096,28281,5.1,NA,1,100.0,5.2,NA,1,100.0,106,0,8.9,NA,1,100.0,106,<0.1,5.0,NA,1,100.0,0,0,7.1,NA,1,100.0,106,105,0,<0.1
145,20%,nonunit,18096,28281,5.2,NA,1,100.0,5.0,NA,1,100.0,107,<0.1,8.8,NA,1,100.0,107,<0.1,5.4,NA,1,100.0,0,<0.1,7.2,NA,1,100.0,107,106,0,<0.1
147,20%,nonunit,18096,28281,5.6,NA,1,100.0,5.1,NA,1,100.0,103,<0.1,8.8,NA,1,100.0,103,<0.1,5.2,NA,1,100.0,0,0,7.0,NA,1,100.0,103,102,0,<0.1
149,20%,nonunit,26300,41500,11.7,NA,1,100.0,10.5,NA,1,100.0,225,<0.1,19.8,NA,1,100.0,225,<0.1,11.0,NA,1,100.0,0,<0.1,15.1,NA,1,100.0,225,225,0,0.1
151,20%,nonunit,15783,24663,5.5,NA,1,100.0,5.5,NA,1,100.0,101,0,7.6,NA,1,100.0,101,0.1,5.5,NA,1,100.0,0,<0.1,6.9,NA,1,100.0,101,101,0,<0.1
153,20%,nonunit,29076,45570,12.2,NA,1,100.0,11.4,NA,1,100.0,211,<0.1,23.2,NA,1,100.0,211,0.1,12.5,NA,1,100.0,0,<0.1,17.0,NA,1,100.0,211,209,0,0.1
155,20%,nonunit,26300,41500,9.7,NA,1,100.0,9.1,NA,1,100.0,216,0,13.5,NA,1,100.0,216,<0.1,9.4,NA,1,100.0,0,<0.1,13.7,NA,1,100.0,216,216,0,0.1
157,20%,nonunit,2980,5360,0.4,NA,1,100.0,0.4,NA,1,100.0,10,0,0.5,NA,1,100.0,10,0,0.4,NA,1,100.0,0,0,0.5,NA,1,100.0,10,10,0,0
159,20%,nonunit,18096,28281,4.9,NA,1,100.0,4.8,NA,1,100.0,106,<0.1,8.8,NA,1,100.0,106,<0.1,5.2,NA,1,100.0,0,<0.1,7.0,NA,1,100.0,106,106,0,<0.1
161,20%,nonunit,138141,227241,198.0,NA,1,100.0,192.4,NA,1,100.0,857,0.1,259.7,NA,1,100.0,410,0.1,200.5,NA,1,100.0,0,0.8,260.6,NA,1,100.0,857,409,0,1.0
163,20%,nonunit,18096,28281,5.1,NA,1,100.0,4.8,NA,1,100.0,110,0,8.3,NA,1,100.0,110,<0.1,5.0,NA,1,100.0,0,0,6.9,NA,1,100.0,110,110,0,<0.1
165,20%,nonunit,18096,28281,4.4,NA,1,100.0,4.4,NA,1,100.0,108,0,6.6,NA,1,100.0,108,0.1,4.3,NA,1,100.0,0,0,6.4,NA,1,100.0,108,108,0,<0.1
167,20%,nonunit,15783,24663,5.7,NA,1,100.0,5.7,NA,1,100.0,103,<0.1,9.9,NA,1,100.0,103,<0.1,5.7,NA,1,100.0,0,<0.1,7.2,NA,1,100.0,103,101,0,<0.1
169,20%,nonunit,4768,8576,0.7,NA,1,100.0,0.6,NA,1,100.0,20,0,0.9,NA,1,100.0,20,0,0.6,NA,1,100.0,0,0,0.8,NA,1,100.0,20,20,0,0
171,20%,nonunit,18096,28281,5.3,NA,1,100.0,4.9,NA,1,100.0,109,0,8.1,NA,1,100.0,109,0.1,4.9,NA,1,100.0,0,<0.1,8.2,NA,1,100.0,109,109,0,<0.1
173,20%,nonunit,56860,77264,30.5,NA,1,100.0,30.6,NA,1,100.0,908,<0.1,49.9,NA,1,100.0,396,0.1,31.0,NA,1,100.0,0,0.8,50.1,NA,1,100.0,908,384,0,0.8
175,20%,nonunit,3523,6446,0.4,NA,1,100.0,0.4,NA,1,100.0,15,<0.1,0.6,NA,1,100.0,15,0,0.4,NA,1,100.0,0,0,0.5,NA,1,100.0,15,15,0,0
177,20%,nonunit,5066,9112,0.9,NA,1,100.0,0.9,NA,1,100.0,15,0,1.2,NA,1,100.0,15,0,0.9,NA,1,100.0,0,0,1.1,NA,1,100.0,15,15,0,0
179,20%,nonunit,15783,24663,5.9,NA,1,100.0,5.6,NA,1,100.0,99,<0.1,8.6,NA,1,100.0,99,<0.1,5.8,NA,1,100.0,0,<0.1,7.7,NA,1,100.0,99,97,0,<0.1
181,20%,nonunit,18096,28281,5.0,NA,1,100.0,4.8,NA,1,100.0,104,0,8.6,NA,1,100.0,104,<0.1,5.2,NA,1,100.0,0,<0.1,7.2,NA,1,100.0,104,103,0,<0.1
183,20%,nonunit,72420,118362,46.0,NA,1,100.0,46.1,NA,1,100.0,279,<0.1,79.3,NA,1,100.0,278,0.1,53.4,NA,1,100.0,0,0.1,79.4,NA,1,100.0,279,277,0,0.2
185,20%,nonunit,3523,6446,0.5,NA,1,100.0,0.5,NA,1,100.0,20,0,0.7,NA,1,100.0,20,0,0.5,NA,1,100.0,0,0,0.6,NA,1,100.0,20,20,0,0
187,20%,nonunit,4227,7734,1.0,NA,1,100.0,0.9,NA,1,100.0,22,<0.1,1.2,NA,1,100.0,22,0,1.0,NA,1,100.0,0,<0.1,1.1,NA,1,100.0,22,22,0,0
189,20%,nonunit,7400,13600,1.8,NA,1,100.0,1.7,NA,1,100.0,45,0,2.4,NA,1,100.0,45,<0.1,1.8,NA,1,100.0,0,0,2.2,NA,1,100.0,45,45,0,<0.1
191,20%,nonunit,4579,8378,1.1,NA,1,100.0,1.1,NA,1,100.0,38,0,1.4,NA,1,100.0,38,0,1.1,NA,1,100.0,0,0,1.3,NA,1,100.0,38,36,0,0
193,20%,nonunit,7030,12920,1.5,NA,1,100.0,1.5,NA,1,100.0,37,0,2.2,NA,1,100.0,37,<0.1,1.5,NA,1,100.0,0,0,1.9,NA,1,100.0,37,37,0,0
195,20%,nonunit,1150,81068,3591.5,6.4,118,39.6,3582.6,5.5,111,42.0,10568,<0.1,3589.5,6.6,1,38.6,7161,0.2,3584.7,6.6,67,38.8,8249,9.1,3584.0,6.2,1,43.5,10568,6076,925,0.9
197,20%,nonunit,1534,127011,3591.6,6.3,8,39.1,3591.7,7.6,1,40.4,10026,<0.1,3591.5,5.3,1,35.8,7110,0.2,3591.5,6.7,1,35.6,8243,10.6,3591.6,5.6,1,34.0,10026,4977,1230,1.4
199,20%,nonunit,1534,126163,3591.5,5.3,1,39.1,3591.6,6.1,1,39.7,10002,<0.1,3591.5,6.8,1,32.5,7110,0.2,3591.6,8.0,1,23.4,11920,18.9,3591.5,9.5,1,28.8,10002,3555,1228,1.5
1,30%,nonunit,6160,40207,8.9,NA,1,100.0,7.7,NA,1,100.0,2237,<0.1,10.9,NA,1,100.0,244,0.1,8.1,NA,1,100.0,0,<0.1,8.2,NA,1,100.0,2242,227,0,0.1
3,30%,nonunit,60541,48418,11.9,NA,1,100.0,11.6,NA,1,100.0,0,0,18.7,NA,1,100.0,0,0,11.7,NA,1,100.0,0,0,18.9,NA,1,100.0,0,0,0,0
5,30%,nonunit,200,798,0.5,NA,1,100.0,0.2,NA,1,100.0,226,0,0.3,NA,1,100.0,47,0,0.6,NA,3,99.7,139,<0.1,0.2,NA,1,100.0,202,36,97,<0.1
7,30%,nonunit,8794,10121,1.9,NA,1,100.0,1.5,NA,1,100.0,67,0,1.8,NA,1,100.0,25,0,1.9,NA,1,100.0,0,0,1.8,NA,1,100.0,67,25,0,0
9,30%,nonunit,38452,174645,3539.0,0.4,5374,88.5,3496.9,0.4,6403,87.9,12000,0.1,3437.9,6.2,1,94.5,12678,12.7,3537.8,0.4,5301,88.5,0,<0.1,3559.4,6.7,1,94.6,12000,12517,0,14.8
11,30%,nonunit,9877,25973,3402.4,<0.1,185083,90.2,3427.4,<0.1,199039,92.3,7769,0.6,3482.3,<0.1,183901,91.1,387,0.5,3394.0,<0.1,182954,90.2,0,0.7,337.6,NA,12165,95.3,10118,1231,0,5.3
13,30%,nonunit,45307,36697,7.6,NA,1,100.0,7.8,NA,1,100.0,0,0,10.9,NA,1,100.0,0,0,7.9,NA,1,100.0,0,0,10.5,NA,1,100.0,0,0,0,0
15,30%,nonunit,53610,42940,9.4,NA,1,100.0,9.3,NA,1,100.0,0,0,13.7,NA,1,100.0,0,0,9.1,NA,1,100.0,0,0,13.1,NA,1,100.0,0,0,0,0
17,30%,nonunit,23541,34233,18.2,NA,1,100.0,17.8,NA,1,100.0,915,<0.1,21.2,NA,1,100.0,277,<0.1,18.4,NA,1,100.0,0,0.3,21.3,NA,1,100.0,915,254,0,0.4
19,30%,nonunit,200,862,0.9,NA,1,100.0,0.5,NA,1,100.0,156,<0.1,0.6,NA,1,100.0,79,0,0.8,NA,1,100.0,324,0.1,0.5,NA,1,100.0,171,66,113,<0.1
21,30%,nonunit,24765,19655,2.2,NA,1,100.0,2.3,NA,1,100.0,0,0,3.4,NA,1,100.0,0,0,2.2,NA,1,100.0,0,0,3.2,NA,1,100.0,0,0,0,0
23,30%,nonunit,27717,133665,3574.7,0.6,12937,84.0,3563.2,0.6,13301,83.6,12000,0.1,3569.6,0.3,1,92.9,14356,10.8,3582.7,0.6,12603,84.0,0,<0.1,3566.3,0.4,1,92.9,12000,13749,0,10.5
25,30%,nonunit,23194,18295,2.1,NA,1,100.0,1.9,NA,1,100.0,0,0,2.7,NA,1,100.0,0,0,2.1,NA,1,100.0,0,0,2.9,NA,1,100.0,0,0,0,0
27,30%,nonunit,65866,52435,13.7,NA,1,100.0,13.5,NA,1,100.0,0,0,21.3,NA,1,100.0,0,0,13.7,NA,1,100.0,0,0,21.9,NA,1,100.0,0,0,0,0
29,30%,nonunit,13431,16234,4.9,NA,1,100.0,3.4,NA,1,100.0,87,0,5.7,NA,1,100.0,65,0,5.0,NA,1,100.0,0,0,4.2,NA,1,100.0,87,65,0,<0.1
31,30%,nonunit,200,813,1.5,NA,18,98.1,0.3,NA,1,100.0,329,<0.1,0.3,NA,1,100.0,115,0,1.3,NA,5,99.2,225,<0.1,0.3,NA,1,100.0,317,91,211,0.1
33,30%,nonunit,4410,6885,1.4,NA,1,100.0,1.4,NA,1,100.0,188,0,1.5,NA,1,100.0,188,0,1.3,NA,1,100.0,0,<0.1,1.5,NA,1,100.0,188,180,0,<0.1
