,,,,,CPX,,,,OC,,,,,,CL,,,,,,GS,,,,,,OCG,,,,,,,
instance,k/|V|,weight,|V|,|E|,T,EG,#N,GI,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C(OC),#C(CL),#C(GS),ST
135,20%,unit,26300,41500,12.7,NA,1,100.0,13.4,NA,1,100.0,71,<0.1,16.6,NA,1,100.0,71,<0.1,12.5,NA,1,100.0,0,<0.1,18.0,NA,1,100.0,71,69,0,<0.1
137,20%,unit,26300,41500,11.9,NA,1,100.0,14.5,NA,1,100.0,73,<0.1,16.8,NA,1,100.0,73,<0.1,11.9,NA,1,100.0,0,0,17.1,NA,1,100.0,73,71,0,<0.1
139,20%,unit,18096,28281,5.8,NA,1,100.0,5.8,NA,1,100.0,42,0,7.9,NA,1,100.0,42,<0.1,6.1,NA,1,100.0,0,0,8.2,NA,1,100.0,42,42,0,<0.1
141,20%,unit,18096,28281,5.4,NA,1,100.0,5.3,NA,1,100.0,27,0,7.3,NA,1,100.0,27,<0.1,5.6,NA,1,100.0,0,<0.1,7.5,NA,1,100.0,27,27,0,<0.1
143,20%,unit,18096,28281,6.5,NA,1,100.0,6.8,NA,1,100.0,37,0,8.7,NA,1,100.0,37,<0.1,6.9,NA,1,100.0,0,0,9.1,NA,1,100.0,37,35,0,<0.1
145,20%,unit,18096,28281,5.6,NA,1,100.0,5.6,NA,1,100.0,37,0,7.8,NA,1,100.0,37,<0.1,5.5,NA,1,100.0,0,0,7.7,NA,1,100.0,37,37,0,<0.1
147,20%,unit,18096,28281,5.5,NA,1,100.0,5.8,NA,1,100.0,34,<0.1,7.9,NA,1,100.0,34,<0.1,5.6,NA,1,100.0,0,0,7.9,NA,1,100.0,34,34,0,<0.1
149,20%,unit,26300,41500,12.0,NA,1,100.0,12.2,NA,1,100.0,70,<0.1,16.1,NA,1,100.0,70,<0.1,12.9,NA,1,100.0,0,0,16.6,NA,1,100.0,70,68,0,<0.1
151,20%,unit,15783,24663,3.9,NA,1,100.0,4.0,NA,1,100.0,35,0,5.5,NA,1,100.0,35,<0.1,3.9,NA,1,100.0,0,0,5.8,NA,1,100.0,35,35,0,0.1
153,20%,unit,29076,45570,12.5,NA,1,100.0,13.2,NA,1,100.0,52,<0.1,17.9,NA,1,100.0,52,<0.1,12.4,NA,1,100.0,0,0,17.6,NA,1,100.0,52,52,0,<0.1
155,20%,unit,26300,41500,12.3,NA,1,100.0,14.1,NA,1,100.0,78,<0.1,16.9,NA,1,100.0,78,<0.1,12.6,NA,1,100.0,0,0,18.0,NA,1,100.0,78,76,0,<0.1
157,20%,unit,2980,5360,0.2,NA,1,100.0,0.2,NA,1,100.0,0,0,0.3,NA,1,100.0,0,0,0.2,NA,1,100.0,0,0,0.3,NA,1,100.0,0,0,0,0
159,20%,unit,18096,28281,6.7,NA,1,100.0,6.7,NA,1,100.0,38,<0.1,8.7,NA,1,100.0,38,<0.1,6.8,NA,1,100.0,0,0,9.0,NA,1,100.0,38,36,0,<0.1
161,20%,unit,138141,227241,210.8,NA,1,100.0,221.2,NA,1,100.0,799,<0.1,275.5,NA,1,100.0,359,0.1,215.8,NA,1,100.0,0,0.4,291.2,NA,1,100.0,799,358,0,0.6
163,20%,unit,18096,28281,5.1,NA,1,100.0,5.2,NA,1,100.0,41,0,7.4,NA,1,100.0,41,<0.1,5.2,NA,1,100.0,0,0,7.3,NA,1,100.0,41,41,0,<0.1
165,20%,unit,18096,28281,4.9,NA,1,100.0,4.6,NA,1,100.0,34,0,6.7,NA,1,100.0,34,<0.1,4.6,NA,1,100.0,0,0,6.7,NA,1,100.0,34,34,0,0
